id,kode,path,nama,status
1,"home","/","Beranda",1
2,"home-auth","/home","Beranda",1
3,"login","/login","Login",1
4,"logout","/logout","None",1
5,"password","/password","Ubah Kata Sandi",1
6,"user","/user","Daftar User",1
7,"user-add","/user/add","Tambah User",1
8,"user-edit","/user/{id}/edit","Edit User",1
9,"user-delete","/user/{id}/delete","Hapus User",1
10,"user-act","/user/{act}/act","Act User",1
11,"group","/group","Daftar Group",1
12,"group-add","/group/add","Tambah Group",1
13,"group-edit","/group/{id}/edit","Edit Group",1
14,"group-delete","/group/{id}/delete","Hapus Group",1
15,"group-act","/group/{act}/act","Act Group",1
16,"user-group","/user/group","Daftar user groups",1
17,"user-group-add","/user/group/add","Tambah user groups",1
18,"user-group-edit","/user/group/{id}/edit","Edit user groups",1
19,"user-group-delete","/user/group/{id}/delete","Hapus user groups",1
20,"user-group-act","/user/group/{act}/act","Act user groups",1
21,"routes","/routes","Routes",1
22,"routes-add","/routes/add","Tambah route",1
23,"routes-edit","/routes/{id}/edit","Edit route",1
24,"routes-delete","/routes/{id}/delete","Hapus route",1
25,"routes-act","/routes/{act}/act","Act route",1
26,"group-routes","/group/routes","Group Permission",1
27,"group-routes-add","/group/routes/add","Tambah group permission",1
28,"group-routes-edit","/group/routes/{id}/{id2}/edit","Edit group permission",1
29,"group-routes-delete","/group/routes/{id}/{id2}/delete","Hapus group permission",1
30,"group-routes-act","/group/routes/{act}/act","Act group permission",1
31,"user-unit","/user/unit","Daftar user unit",1
32,"user-unit-add","/user/unit/add","Tambah user unit",1
33,"user-unit-edit","/user/unit/{id}/edit","Edit user unit",1
34,"user-unit-delete","/user/unit/{id}/delete","Hapus user unit",1
35,"user-unit-act","/user/unit/{act}/act","Act user unit",1
36,"admin-report","/admin/report","Laporan Admin",1
37,"admin-report-act","/admin/report/act/{act}","Laporan Admin Action",1
38,"urusan","/urusan","Urusan",1
39,"urusan-act","/urusan/{act}/act","Baca Urusan",1
40,"urusan-add","/urusan/add","Tambah Urusan",1
41,"urusan-edit","/urusan/{id}/edit","Edit Urusan",1
42,"urusan-delete","/urusan/{id}/delete","Hapus Urusan",1
43,"unit","/unit","Unit Kerja",1
44,"unit-act","/unit/{act}/act","Baca Unit Kerja",1
45,"unit-add","/unit/add","Tambah Unit Kerja",1
46,"unit-edit","/unit/{id}/edit","Edit Unit Kerja",1
47,"unit-delete","/unit/{id}/delete","Hapus Unit Kerja",1
48,"rekening","/rekening","Rekening",1
49,"rekening-act","/rekening/{act}/act","Baca Rekening",1
50,"rekening-add","/rekening/add","Tambah Rekening",1
51,"rekening-edit","/rekening/{id}/edit","Edit Rekening",1
52,"rekening-delete","/rekening/{id}/delete","Hapus Rekening",1
53,"upload-logo","/upload/logo","Unggah Logo",1
